序号,名称,音频地址,课件地址,视频地址,视频时长
43,建筑防烟排烟系统技术标准 第2节,http://downmp3.highso.com.cn/1909/HEARWRYJ/HEARWRYJ.mp3,http://down.highso.com.cn/pdf/2019/xf/34_yj_lzq_2019_01_xfks_shy_gfjj_jzfypyxtjsbz02_1.pdf,http://bccdn.video.source.haixue.com/1909/HEARWRYJ/a19f99f2faa659772814ea1c5df484c5.mp4,48:20
44,建筑防烟排烟系统技术标准 第3节,http://downmp3.highso.com.cn/1909/TNLPJIII/TNLPJIII.mp3,http://down.highso.com.cn/pdf/2019/xf/35_yj_lzq_2019_01_xfks_shy_gfjj_jzfypyxtjsbz03_1.pdf,http://bccdn.video.source.haixue.com/1909/TNLPJIII/0f8d204aa69ae95dad978d9fb1b49a47.mp4,36:11
45,建筑防烟排烟系统技术标准 第4节,http://downmp3.highso.com.cn/1909/PNNDMPEJ/PNNDMPEJ.mp3,http://down.highso.com.cn/pdf/2019/xf/36_yj_lzq_2019_01_xfks_shy_gfjj_jzfypyxtjsbz04_1.pdf,http://bccdn.video.source.haixue.com/1909/PNNDMPEJ/b0a274f3a08200a4c17a7ec5868ea781.mp4,37:00
46,火灾自动报警系统施工及验收标准1,http://bccdn.video.source.haixue.com/2006/HBPJSDAR/HBPJSDAR.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593316322825/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准1.pdf,http://bccdn.video.source.haixue.com/2006/HBPJSDAR/431350502899f4f2539f56a3c3c9bdd4.mp4,36:58
47,火灾自动报警系统施工及验收标准2,http://bccdn.video.source.haixue.com/2006/NNTOYFAH/NNTOYFAH.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593316341108/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准2.pdf,http://bccdn.video.source.haixue.com/2006/NNTOYFAH/1642f2a8feceb8f0d2a885a37d013a51.mp4,50:54
48,火灾自动报警系统施工及验收标准3,http://bccdn.video.source.haixue.com/2006/EPBFERIV/EPBFERIV.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593316364804/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准3.pdf,http://bccdn.video.source.haixue.com/2006/EPBFERIV/a820d841f216c67bdf375b683f3c4502.mp4,44:57
49,火灾自动报警系统施工及验收标准4,http://bccdn.video.source.haixue.com/2006/JKPHBGDY/JKPHBGDY.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593316526003/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准4.pdf,http://bccdn.video.source.haixue.com/2006/JKPHBGDY/f3c861f1d034180c57103728017f2ce8.mp4,35:42
50,火灾自动报警系统施工及验收标准5,http://bccdn.video.source.haixue.com/2006/HXFJSQDL/HXFJSQDL.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593316538389/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准5.pdf,http://bccdn.video.source.haixue.com/2006/HXFJSQDL/1d8899e454f84a841c949c9836330a3a.mp4,29:40
51,火灾自动报警系统施工及验收标准6,http://bccdn.video.source.haixue.com/2006/PAIHOGFF/PAIHOGFF.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593321092757/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准6.pdf,http://bccdn.video.source.haixue.com/2006/PAIHOGFF/6b8f128ccfc089367405f91e90b1c08d.mp4,29:04
52,火灾自动报警系统施工及验收标准7,http://bccdn.video.source.haixue.com/2006/RXBKXJBS/RXBKXJBS.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593321118908/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准7.pdf,http://bccdn.video.source.haixue.com/2006/RXBKXJBS/fd610b3c24bcf01498979a29e7b27d27.mp4,21:57
53,火灾自动报警系统施工及验收标准8,http://bccdn.video.source.haixue.com/2006/WBYPNCLW/WBYPNCLW.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593321148421/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准8.pdf,http://bccdn.video.source.haixue.com/2006/WBYPNCLW/65333c24b662011bbc1d5e3a2c599e58.mp4,25:19
54,火灾自动报警系统施工及验收标准9,http://bccdn.video.source.haixue.com/2006/DPEYRUDI/DPEYRUDI.mp3,http://yunpan-pub1.haixue.com/normal/2020/1593321158274/李作强-一级消防工程师-三合一-强哥核心规范解读-火灾自动报警系统施工及验收标准9.pdf,http://bccdn.video.source.haixue.com/2006/DPEYRUDI/5cad74f636fd0daab20e327f07b630a0.mp4,28:44
