序号,名称,音频地址,课件地址,视频地址,视频时长
16,第三篇 消防设施安装、检测与维护管理 第二章 消防给水 第3节（1）,http://downmp3.highso.com.cn/1909/RQCPMPZB/RQCPMPZB.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d2z_xfgs_3_1.pdf,http://bccdn.video.source.haixue.com/1909/RQCPMPZB/fab9b21032979ac99446f5abcede855e.mp4,37:06
17,第三篇 消防设施安装、检测与维护管理 第二章 消防给水 第3节（2）,http://downmp3.highso.com.cn/1909/VHLBTEME/VHLBTEME.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d2z_xfgs_3_2-4.pdf,http://bccdn.video.source.haixue.com/1909/VHLBTEME/f43807e1fce999551077d3488c8f8971.mp4,52:10
18,第三篇 消防设施安装、检测与维护管理 第三章 消火栓系统 第1、2节,http://downmp3.highso.com.cn/1909/JHWADJKB/JHWADJKB.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d3z_xhsxt_1-2.pdf,http://bccdn.video.source.haixue.com/1909/JHWADJKB/1a610405c54dce5937735357b2633273.mp4,30:09
19,第三篇 消防设施安装、检测与维护管理 第三章 消火栓系统 第3、4节,http://downmp3.highso.com.cn/1909/EVKFOAKV/EVKFOAKV.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d3z_xhsxt_3-4.pdf,http://bccdn.video.source.haixue.com/1909/EVKFOAKV/fe9256c77cf37526bea45ee55e16e3ed.mp4,22:35
20,第三篇 消防设施安装、检测与维护管理 第四章 自动喷水灭火系统 第1、2节,http://downmp3.highso.com.cn/1909/ODSICXXV/ODSICXXV.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d4z_zdpsxt_1-2.pdf,http://bccdn.video.source.haixue.com/1909/ODSICXXV/dcc7331ed683465429199ce153256b33.mp4,40:18
21,第三篇 消防设施安装、检测与维护管理 第四章 自动喷水灭火系统 第3节（1）,http://downmp3.highso.com.cn/1909/DOONLMQZ/DOONLMQZ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d4z_zdpsxt_3_1.pdf,http://bccdn.video.source.haixue.com/1909/DOONLMQZ/4ecd43ad7866bfec9d9ce292398eaa15.mp4,26:26
22,第三篇 消防设施安装、检测与维护管理 第四章 自动喷水灭火系统 第3节（2）,http://downmp3.highso.com.cn/1909/JEHQUWYS/JEHQUWYS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d4z_zdpsxt_3_2.pdf,http://bccdn.video.source.haixue.com/1909/JEHQUWYS/6fa9c43696dda6ae7c960ca6b94d0409.mp4,42:06
23,第三篇 消防设施安装、检测与维护管理 第四章 自动喷水灭火系统 第4节,http://downmp3.highso.com.cn/1909/UDHDTAFV/UDHDTAFV.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d4z_zdpsxt_4.pdf,http://bccdn.video.source.haixue.com/1909/UDHDTAFV/136e23051fba2b69c21ec7ae08769d32.mp4,34:39
24,第三篇 消防设施安装、检测与维护管理 第五章 水喷雾灭火系统,http://downmp3.highso.com.cn/1909/URENFZTI/URENFZTI.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d5z_spwhxt.pdf,http://bccdn.video.source.haixue.com/1909/URENFZTI/df40b0432782b862844998c1cecba922.mp4,24:58
25,第三篇 消防设施安装、检测与维护管理 第六章 细水雾灭火系统,http://downmp3.highso.com.cn/1909/DPDQRACI/DPDQRACI.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjszhnl_jcjj_d3p_d6z_xswmhxt.pdf,http://bccdn.video.source.haixue.com/1909/DPDQRACI/26e68e6a46ea79236d9b852ddb0107ea.mp4,23:53
