序号,名称,音频地址,课件地址,视频地址,视频时长
39,第三篇 建筑消防设施 第九章 火灾自动报警系统 第1、2节,http://downmp3.highso.com.cn/1908/OJNFAWBI/OJNFAWBI.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d9z_hzzdbjxt_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/OJNFAWBI/014b86b32de76a8fcfa3e8a97f0ccb5e.mp4,42:55
40,第三篇 建筑消防设施 第九章 火灾自动报警系统 第3节（1）,http://downmp3.highso.com.cn/1908/YMQXXSPC/YMQXXSPC.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d9z_hzzdbjxt_3_1_1.pdf,http://bccdn.video.source.haixue.com/1908/YMQXXSPC/d9323e9ecc76af61fcf7b41b9be2ac60.mp4,30:17
41,第三篇 建筑消防设施 第九章 火灾自动报警系统 第3节（2）,http://downmp3.highso.com.cn/1908/IGPPYSSX/IGPPYSSX.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d9z_hzzdbjxt_3_2_1.pdf,http://bccdn.video.source.haixue.com/1908/IGPPYSSX/c682b298abb1719b345194d94e3766d9.mp4,26:35
42,第三篇 建筑消防设施 第九章 火灾自动报警系统 第3节（3）,http://downmp3.highso.com.cn/1908/RKYRAAYS/RKYRAAYS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d9z_hzzdbjxt_3_3_1.pdf,http://bccdn.video.source.haixue.com/1908/RKYRAAYS/7fcf33836847d92e1d5fec1d7350d0f1.mp4,37:36
43,第三篇 建筑消防设施 第九章 火灾自动报警系统 第4、5、6节,http://downmp3.highso.com.cn/1908/NHUACTBI/NHUACTBI.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d9z_hzzdbjxt_4-6_1.pdf,http://bccdn.video.source.haixue.com/1908/NHUACTBI/b74ffac348c3668cc414fab672e2df46.mp4,21:21
44,第三篇 建筑消防设施 第十章 防烟排烟系统 第1、2节,http://downmp3.highso.com.cn/1908/IFZSJWGY/IFZSJWGY.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d10z_fypyxt_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/IFZSJWGY/10e684c5e93cf2ea1115b0ecbb0f213a.mp4,65:41
45,第三篇 建筑消防设施 第十章 防烟排烟系统 第3、4节,http://downmp3.highso.com.cn/1908/URTFQBWQ/URTFQBWQ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d10z_fypyxt_3-4_1.pdf,http://bccdn.video.source.haixue.com/1908/URTFQBWQ/8b40218289924d84f24b2b326c38b6df.mp4,34:44
46,第三篇 建筑消防设施 第十一章 消防应急照明和疏散指示系统 第1、2节,http://downmp3.highso.com.cn/1908/KIMUPNPP/KIMUPNPP.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d11z_xfyjzmhsszsxt_1-2_1.pdf,http://bccdn.video.source.haixue.com/1908/KIMUPNPP/8e4d0470a07637b1b13ab40a9d8d4fe8.mp4,35:14
47,第三篇 建筑消防设施 第十一章 消防应急照明和疏散指示系统 第3节,http://downmp3.highso.com.cn/1908/POHSGYPS/POHSGYPS.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d11z_xfyjzmhsszsxt_3_1.pdf,http://bccdn.video.source.haixue.com/1908/POHSGYPS/2aec375b0ac05473e01ebfbe84357767.mp4,53:12
48,第三篇 建筑消防设施 第十二章 城市消防远程监控系统、第十三章 建筑灭火器配置,http://downmp3.highso.com.cn/1908/BPLDRQRJ/BPLDRQRJ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d12-13z_csxfycjkxt_jzmhqpz_1.pdf,http://bccdn.video.source.haixue.com/1908/BPLDRQRJ/2534c17d8f535e3cf2856eedf4d867db.mp4,73:57
49,第三篇 建筑消防设施 第十四章 消防供配电,http://downmp3.highso.com.cn/1908/SKBUMPNJ/SKBUMPNJ.mp3,http://down.highso.com.cn/pdf/2019/xf/2019_lzq_yjxfgcs_xfaqjssw_jcjj_d3p_d14z_xfgpd_1.pdf,http://bccdn.video.source.haixue.com/1908/SKBUMPNJ/b704612eaac6ad27329765feab5b55da.mp4,22:09
